s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 5.7925448E+000, 1.2262987E+004,-1.3516454E+003, 1.5842677E+002,-7.3149824E+001,-8.4063722E-001, 0.0000000E+000, 0.0000000E+000, 1.1222477E+004, 1.0995778E+004, 0.0000000E+000, 2.7013631E-001, 0.0000000E+000
 5.8826404E+000, 1.2216552E+004,-1.4873223E+003, 1.5426560E+002,-8.0409491E+001,-8.3366346E-001, 0.0000000E+000, 0.0000000E+000, 1.0979914E+004, 1.0802252E+004, 0.0000000E+000, 2.7013713E-001, 0.0000000E+000
 5.9727359E+000, 1.2082855E+004,-1.3463237E+003, 1.5309784E+002,-8.9489132E+001,-8.3142702E-001, 0.0000000E+000, 0.0000000E+000, 1.0783772E+004, 1.0799308E+004, 0.0000000E+000, 2.7013783E-001, 0.0000000E+000
 6.0628314E+000, 1.1935825E+004,-1.4242863E+003, 1.4822035E+002,-1.0023844E+002,-8.3564548E-001, 0.0000000E+000, 0.0000000E+000, 1.0779769E+004, 1.0558685E+004, 0.0000000E+000, 2.7013841E-001, 0.0000000E+000
 6.1427288E+000, 1.2052991E+004,-1.6366948E+003, 1.4568562E+002,-1.1135102E+002,-8.3757986E-001, 0.0000000E+000, 0.0000000E+000, 1.0538251E+004, 1.0449793E+004, 0.0000000E+000, 2.7013884E-001, 0.0000000E+000
 6.2226262E+000, 1.2028013E+004,-1.5741882E+003, 1.4501040E+002,-1.2287876E+002,-8.3870070E-001, 0.0000000E+000, 0.0000000E+000, 1.0430344E+004, 1.0475117E+004, 0.0000000E+000, 2.7013921E-001, 0.0000000E+000
 6.3025241E+000, 1.2049688E+004,-1.6859321E+003, 1.3220243E+002,-1.3468395E+002,-8.3986662E-001, 0.0000000E+000, 0.0000000E+000, 1.0455272E+004, 1.0360435E+004, 0.0000000E+000, 2.7013952E-001, 0.0000000E+000
 6.3824215E+000, 1.2096459E+004,-1.6922019E+003, 7.6261140E+001,-1.4657376E+002,-8.4099023E-001, 0.0000000E+000, 0.0000000E+000, 1.0322061E+004, 1.0333104E+004, 0.0000000E+000, 2.7013979E-001, 0.0000000E+000
 6.4623189E+000, 1.2144935E+004,-1.7083856E+003,-5.3205440E+001,-1.5798818E+002,-8.4181451E-001, 0.0000000E+000, 0.0000000E+000, 1.0268803E+004, 1.0224514E+004, 0.0000000E+000, 2.7014002E-001, 0.0000000E+000
 6.5422163E+000, 1.2182716E+004,-1.8216670E+003,-2.8821709E+002,-1.6856646E+002,-8.4231401E-001, 0.0000000E+000, 0.0000000E+000, 1.0110842E+004, 9.9034236E+003, 0.0000000E+000, 2.7014021E-001, 0.0000000E+000
 6.6221137E+000, 1.2207930E+004,-1.8440959E+003,-6.0217079E+002,-1.7819280E+002,-8.4269748E-001, 0.0000000E+000, 0.0000000E+000, 9.7457351E+003, 9.5826279E+003, 0.0000000E+000, 2.7014038E-001, 0.0000000E+000
 6.7020116E+000, 1.2224242E+004,-1.9317583E+003,-9.6902741E+002,-1.8677551E+002,-8.4303197E-001, 0.0000000E+000, 0.0000000E+000, 9.3851438E+003, 9.1358374E+003, 0.0000000E+000, 2.7014052E-001, 0.0000000E+000
 6.7898989E+000, 1.2143070E+004,-1.9393967E+003,-1.4008949E+003,-1.9445464E+002,-8.4334233E-001, 0.0000000E+000, 0.0000000E+000, 8.8933765E+003, 8.6074802E+003, 0.0000000E+000, 2.7014065E-001, 0.0000000E+000
 6.8777862E+000, 1.2173416E+004,-1.9041275E+003,-1.8010090E+003,-2.0117258E+002,-8.4362593E-001, 0.0000000E+000, 0.0000000E+000, 8.3696312E+003, 8.2662637E+003, 0.0000000E+000, 2.7014076E-001, 0.0000000E+000
 6.9656734E+000, 1.2197741E+004,-1.8771838E+003,-2.1658222E+003,-2.0669514E+002,-8.4382374E-001, 0.0000000E+000, 0.0000000E+000, 8.0471382E+003, 7.9471956E+003, 0.0000000E+000, 2.7014085E-001, 0.0000000E+000
 7.0535607E+000, 1.2217941E+004,-1.8230568E+003,-2.5237572E+003,-2.3081741E+002,-8.4397335E-001, 0.0000000E+000, 0.0000000E+000, 7.7248481E+003, 7.6394653E+003, 0.0000000E+000, 2.7014093E-001, 0.0000000E+000
 7.1414480E+000, 1.2254357E+004,-1.9223099E+003,-2.9238725E+003,-2.6347457E+002,-8.4409035E-001, 0.0000000E+000, 0.0000000E+000, 7.4163888E+003, 7.1438557E+003, 0.0000000E+000, 2.7014099E-001, 0.0000000E+000
 7.2293353E+000, 1.2297819E+004,-1.8393279E+003,-3.3371213E+003,-2.6515637E+002,-8.4419770E-001, 0.0000000E+000, 0.0000000E+000, 6.9337525E+003, 6.8553697E+003, 0.0000000E+000, 2.7014105E-001, 0.0000000E+000
 7.3172226E+000, 1.2318758E+004,-1.8735585E+003,-3.8114774E+003,-2.9796913E+002,-8.4424424E-001, 0.0000000E+000, 0.0000000E+000, 6.6003489E+003, 6.3349085E+003, 0.0000000E+000, 2.7014109E-001, 0.0000000E+000
 7.4051094E+000, 1.2313670E+004,-1.8912149E+003,-4.2467750E+003,-2.9060617E+002,-8.4426630E-001, 0.0000000E+000, 0.0000000E+000, 6.1217129E+003, 5.8842293E+003, 0.0000000E+000, 2.7014113E-001, 0.0000000E+000
 7.4929967E+000, 1.2317691E+004,-1.9399147E+003,-4.6677874E+003,-3.0095766E+002,-8.4416749E-001, 0.0000000E+000, 0.0000000E+000, 5.6489645E+003, 5.4081875E+003, 0.0000000E+000, 2.7014117E-001, 0.0000000E+000
 7.5808840E+000, 1.2352041E+004,-1.7622606E+003,-5.0236946E+003,-3.0854413E+002,-8.4374869E-001, 0.0000000E+000, 0.0000000E+000, 5.2065939E+003, 5.2566976E+003, 0.0000000E+000, 2.7014119E-001, 0.0000000E+000
 7.6687713E+000, 1.2321078E+004,-1.7186027E+003,-5.3067555E+003,-3.1523926E+002,-8.4303162E-001, 0.0000000E+000, 0.0000000E+000, 5.0976305E+003, 4.9796377E+003, 0.0000000E+000, 2.7014121E-001, 0.0000000E+000
 7.7566586E+000, 1.2248183E+004,-1.7509076E+003,-5.4903426E+003,-3.0772996E+002,-8.4302880E-001, 0.0000000E+000, 0.0000000E+000, 4.8817289E+003, 4.6983598E+003, 0.0000000E+000, 2.7014123E-001, 0.0000000E+000
 7.8445458E+000, 1.2153215E+004,-1.7471014E+003,-5.6205965E+003,-3.1388293E+002,-8.4323902E-001, 0.0000000E+000, 0.0000000E+000, 4.6200289E+003, 4.4707912E+003, 0.0000000E+000, 2.7014125E-001, 0.0000000E+000
 7.9324331E+000, 1.2102434E+004,-1.7408224E+003,-5.6819976E+003,-3.4627412E+002,-8.4300468E-001, 0.0000000E+000, 0.0000000E+000, 4.4192392E+003, 4.3324965E+003, 0.0000000E+000, 2.7014126E-001, 0.0000000E+000
 8.0203209E+000, 1.2078613E+004,-1.6969742E+003,-5.7282075E+003,-3.8396648E+002,-8.4232398E-001, 0.0000000E+000, 0.0000000E+000, 4.3132748E+003, 4.2686222E+003, 0.0000000E+000, 2.7014127E-001, 0.0000000E+000
 8.1082077E+000, 1.2076707E+004,-1.6909112E+003,-5.6983337E+003,-3.8235360E+002,-8.4108716E-001, 0.0000000E+000, 0.0000000E+000, 4.3126179E+003, 4.3042673E+003, 0.0000000E+000, 2.7014128E-001, 0.0000000E+000
 8.1960955E+000, 1.2097457E+004,-1.6831200E+003,-5.6677918E+003,-3.9268208E+002,-8.3896499E-001, 0.0000000E+000, 0.0000000E+000, 4.3508529E+003, 4.3530239E+003, 0.0000000E+000, 2.7014129E-001, 0.0000000E+000
 8.2839823E+000, 1.2117959E+004,-1.7156296E+003,-5.5710825E+003,-3.8079569E+002,-8.3361644E-001, 0.0000000E+000, 0.0000000E+000, 4.4383006E+003, 4.4496179E+003, 0.0000000E+000, 2.7014130E-001, 0.0000000E+000
 8.3718700E+000, 1.2060316E+004,-1.6955152E+003,-5.4813944E+003,-3.4933568E+002,-8.2660819E-001, 0.0000000E+000, 0.0000000E+000, 4.5364936E+003, 4.5332438E+003, 0.0000000E+000, 2.7014130E-001, 0.0000000E+000
 8.4597569E+000, 1.1930540E+004,-1.6234855E+003,-5.4003796E+003,-3.6552227E+002,-8.3396419E-001, 0.0000000E+000, 0.0000000E+000, 4.5888454E+003, 4.5403189E+003, 0.0000000E+000, 2.7014131E-001, 0.0000000E+000
 8.5476446E+000, 1.1915799E+004,-1.6131543E+003,-5.2982077E+003,-3.6374349E+002,-8.3526881E-001, 0.0000000E+000, 0.0000000E+000, 4.6229277E+003, 4.6398582E+003, 0.0000000E+000, 2.7014131E-001, 0.0000000E+000
 8.6355314E+000, 1.1981146E+004,-1.5045508E+003,-5.1835576E+003,-3.5645839E+002,-8.3484268E-001, 0.0000000E+000, 0.0000000E+000, 4.7284202E+003, 4.9357439E+003, 0.0000000E+000, 2.7014132E-001, 0.0000000E+000
 8.7234192E+000, 1.1998941E+004,-1.5872888E+003,-5.0958887E+003,-3.7399222E+002,-8.3434376E-001, 0.0000000E+000, 0.0000000E+000, 5.0029929E+003, 4.9409365E+003, 0.0000000E+000, 2.7014132E-001, 0.0000000E+000
 8.8113060E+000, 1.2099117E+004,-1.6277689E+003,-5.0241042E+003,-3.6017366E+002,-8.3261145E-001, 0.0000000E+000, 0.0000000E+000, 5.0169272E+003, 5.0862375E+003, 0.0000000E+000, 2.7014132E-001, 0.0000000E+000
 8.8991928E+000, 1.2041782E+004,-1.6591456E+003,-4.9792443E+003,-3.5525797E+002,-8.3304058E-001, 0.0000000E+000, 0.0000000E+000, 5.1396804E+003, 5.0473008E+003, 0.0000000E+000, 2.7014132E-001, 0.0000000E+000
 8.9870806E+000, 1.2165822E+004,-1.7743049E+003,-4.9285488E+003,-3.5004438E+002,-8.3438113E-001, 0.0000000E+000, 0.0000000E+000, 5.0843384E+003, 5.1120892E+003, 0.0000000E+000, 2.7014132E-001, 0.0000000E+000
 9.0749674E+000, 1.2117156E+004,-1.7852956E+003,-4.8979660E+003,-3.7302090E+002,-8.3704730E-001, 0.0000000E+000, 0.0000000E+000, 5.1366873E+003, 5.0600361E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 9.1628551E+000, 1.2174698E+004,-1.7009964E+003,-4.8824010E+003,-3.8942755E+002,-8.3929646E-001, 0.0000000E+000, 0.0000000E+000, 5.0893136E+003, 5.2010336E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 9.2507420E+000, 1.2175184E+004,-1.7329759E+003,-4.8841437E+003,-3.9489468E+002,-8.4113947E-001, 0.0000000E+000, 0.0000000E+000, 5.2201388E+003, 5.1623288E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 9.3386297E+000, 1.2184726E+004,-1.8330033E+003,-4.9075216E+003,-4.1167631E+002,-8.4244022E-001, 0.0000000E+000, 0.0000000E+000, 5.1751999E+003, 5.0316822E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 9.4265165E+000, 1.2191250E+004,-1.7579216E+003,-4.9264013E+003,-4.2223562E+002,-8.4343195E-001, 0.0000000E+000, 0.0000000E+000, 5.0562071E+003, 5.0838477E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 9.5034332E+000, 1.2347620E+004,-1.7332713E+003,-4.9530977E+003,-4.1725339E+002,-8.4393039E-001, 0.0000000E+000, 0.0000000E+000, 5.1030807E+003, 5.2431534E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 9.5803490E+000, 1.2339019E+004,-1.7480964E+003,-4.9910529E+003,-4.2226974E+002,-8.4425605E-001, 0.0000000E+000, 0.0000000E+000, 5.2474136E+003, 5.1767561E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 9.6572647E+000, 1.2334340E+004,-1.9460535E+003,-5.0531089E+003,-4.3399968E+002,-8.4457778E-001, 0.0000000E+000, 0.0000000E+000, 5.1681734E+003, 4.9003337E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 9.7418728E+000, 1.2222592E+004,-1.8272110E+003,-5.1521689E+003,-4.4677103E+002,-8.4479880E-001, 0.0000000E+000, 0.0000000E+000, 4.8753813E+003, 4.7955960E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 9.8264799E+000, 1.2247491E+004,-1.7400074E+003,-5.2939448E+003,-4.4948369E+002,-8.4437711E-001, 0.0000000E+000, 0.0000000E+000, 4.7493615E+003, 4.7632111E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 9.9110870E+000, 1.2278376E+004,-1.7014177E+003,-5.4741001E+003,-4.5145039E+002,-8.4464675E-001, 0.0000000E+000, 0.0000000E+000, 4.6944843E+003, 4.6505636E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 9.9956951E+000, 1.2296031E+004,-1.7040964E+003,-5.6972890E+003,-4.7945251E+002,-8.4475477E-001, 0.0000000E+000, 0.0000000E+000, 4.5520236E+003, 4.4143487E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.0080302E+001, 1.2305390E+004,-1.7197744E+003,-5.9431446E+003,-4.8597539E+002,-8.4449492E-001, 0.0000000E+000, 0.0000000E+000, 4.3141502E+003, 4.1556514E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.0164910E+001, 1.2319537E+004,-1.7338503E+003,-6.2041827E+003,-4.9277306E+002,-8.4421066E-001, 0.0000000E+000, 0.0000000E+000, 4.0459280E+003, 3.8878869E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.0249517E+001, 1.2329003E+004,-1.7629182E+003,-6.4644033E+003,-4.8785257E+002,-8.4392645E-001, 0.0000000E+000, 0.0000000E+000, 3.7731166E+003, 3.6129848E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.0334126E+001, 1.2334026E+004,-1.7953427E+003,-6.7312771E+003,-5.1603570E+002,-8.4342887E-001, 0.0000000E+000, 0.0000000E+000, 3.4814138E+003, 3.2905269E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.0427194E+001, 1.2210343E+004,-1.7441721E+003,-7.0078556E+003,-5.1879415E+002,-8.4251742E-001, 0.0000000E+000, 0.0000000E+000, 3.1674556E+003, 2.9386781E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.0520262E+001, 1.2213718E+004,-1.7139403E+003,-7.2605746E+003,-5.3147776E+002,-8.4193158E-001, 0.0000000E+000, 0.0000000E+000, 2.8204672E+003, 2.7068831E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.0613330E+001, 1.2199246E+004,-1.7337044E+003,-7.5200122E+003,-5.5919050E+002,-8.4231679E-001, 0.0000000E+000, 0.0000000E+000, 2.5831542E+003, 2.3854963E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.0706399E+001, 1.2179521E+004,-1.7531444E+003,-7.7493284E+003,-5.6484866E+002,-8.4254126E-001, 0.0000000E+000, 0.0000000E+000, 2.2983892E+003, 2.1113571E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.0799467E+001, 1.2163546E+004,-1.6686467E+003,-7.9491573E+003,-5.5568686E+002,-8.4247308E-001, 0.0000000E+000, 0.0000000E+000, 2.0418701E+003, 1.9892131E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.0892535E+001, 1.2154525E+004,-1.7029112E+003,-8.1536618E+003,-5.8555630E+002,-8.4195566E-001, 0.0000000E+000, 0.0000000E+000, 1.9009440E+003, 1.7115538E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.0985603E+001, 1.2146121E+004,-1.7583702E+003,-8.3139314E+003,-6.0559487E+002,-8.4097246E-001, 0.0000000E+000, 0.0000000E+000, 1.6665310E+003, 1.4673839E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.1078671E+001, 1.2134344E+004,-1.7123836E+003,-8.4408285E+003,-6.3734588E+002,-8.4166962E-001, 0.0000000E+000, 0.0000000E+000, 1.4384397E+003, 1.3429444E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.1171741E+001, 1.2138480E+004,-1.6225885E+003,-8.5193453E+003,-6.5719469E+002,-8.4219116E-001, 0.0000000E+000, 0.0000000E+000, 1.3508291E+003, 1.3385089E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.1264809E+001, 1.2148332E+004,-1.6655208E+003,-8.5544044E+003,-6.6159762E+002,-8.4235112E-001, 0.0000000E+000, 0.0000000E+000, 1.3880463E+003, 1.2659671E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.1357877E+001, 1.2151686E+004,-1.6787963E+003,-8.5967742E+003,-7.0226765E+002,-8.4236316E-001, 0.0000000E+000, 0.0000000E+000, 1.3034573E+003, 1.1730053E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.1450945E+001, 1.2159001E+004,-1.6730585E+003,-8.6130767E+003,-6.9306776E+002,-8.4227281E-001, 0.0000000E+000, 0.0000000E+000, 1.2608665E+003, 1.1789558E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.1544014E+001, 1.2161129E+004,-1.7903347E+003,-8.6256927E+003,-7.0012800E+002,-8.4203563E-001, 0.0000000E+000, 0.0000000E+000, 1.2594955E+003, 1.0441320E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.1637082E+001, 1.2155696E+004,-1.7193253E+003,-8.6369739E+003,-7.0529728E+002,-8.4166782E-001, 0.0000000E+000, 0.0000000E+000, 1.1298850E+003, 1.0932575E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.1730150E+001, 1.2159286E+004,-1.6845727E+003,-8.6452098E+003,-6.9305337E+002,-8.4113490E-001, 0.0000000E+000, 0.0000000E+000, 1.1878278E+003, 1.1356091E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.1823218E+001, 1.2164439E+004,-1.8139907E+003,-8.7082736E+003,-6.9841557E+002,-8.4038445E-001, 0.0000000E+000, 0.0000000E+000, 1.1945639E+003, 9.4291840E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.1916286E+001, 1.2172841E+004,-1.7167288E+003,-8.8304878E+003,-7.0422785E+002,-8.3938585E-001, 0.0000000E+000, 0.0000000E+000, 9.7635191E+002, 9.2055677E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.2018661E+001, 1.2066903E+004,-1.7358570E+003,-9.0108643E+003,-6.9788167E+002,-8.3823798E-001, 0.0000000E+000, 0.0000000E+000, 9.3568939E+002, 6.2146193E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.2121037E+001, 1.2100587E+004,-1.7359374E+003,-9.1737722E+003,-6.9975927E+002,-8.3757546E-001, 0.0000000E+000, 0.0000000E+000, 6.3745382E+002, 4.9028084E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.2223413E+001, 1.2138876E+004,-1.7459469E+003,-9.3093493E+003,-6.9885461E+002,-8.3773159E-001, 0.0000000E+000, 0.0000000E+000, 5.0575573E+002, 3.8388788E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.2325788E+001, 1.2157336E+004,-1.7350655E+003,-9.4006347E+003,-7.1091447E+002,-8.3840576E-001, 0.0000000E+000, 0.0000000E+000, 4.0694271E+002, 3.0988260E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.2428163E+001, 1.2191545E+004,-1.6838936E+003,-9.4542565E+003,-6.9475205E+002,-8.3881748E-001, 0.0000000E+000, 0.0000000E+000, 3.7000352E+002, 3.5780398E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.2530538E+001, 1.2185699E+004,-1.7317571E+003,-9.4698227E+003,-6.7893939E+002,-8.3914558E-001, 0.0000000E+000, 0.0000000E+000, 4.3796785E+002, 3.0434055E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.2632913E+001, 1.2224679E+004,-1.7697635E+003,-9.4610542E+003,-6.7408923E+002,-8.3901501E-001, 0.0000000E+000, 0.0000000E+000, 3.9182602E+002, 3.1893262E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.2735288E+001, 1.2195145E+004,-1.7604503E+003,-9.4433457E+003,-6.7416620E+002,-8.3908513E-001, 0.0000000E+000, 0.0000000E+000, 4.1244636E+002, 3.1634365E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.2837664E+001, 1.2249429E+004,-1.7543868E+003,-9.3982293E+003,-6.6484201E+002,-8.3865195E-001, 0.0000000E+000, 0.0000000E+000, 4.2572808E+002, 4.3113264E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.2926544E+001, 1.2381533E+004,-1.7976418E+003,-9.3525841E+003,-6.4817700E+002,-8.3866862E-001, 0.0000000E+000, 0.0000000E+000, 5.3478735E+002, 5.8229105E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.3015426E+001, 1.2404433E+004,-1.8738758E+003,-9.2888247E+003,-6.3029776E+002,-8.3793820E-001, 0.0000000E+000, 0.0000000E+000, 6.9532943E+002, 6.1059708E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.3104307E+001, 1.2307666E+004,-1.8509304E+003,-9.1976028E+003,-6.2231696E+002,-8.3775063E-001, 0.0000000E+000, 0.0000000E+000, 7.1526292E+002, 6.3597778E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.3193189E+001, 1.2359356E+004,-1.8355580E+003,-9.0957514E+003,-6.3293080E+002,-8.3635848E-001, 0.0000000E+000, 0.0000000E+000, 7.4767811E+002, 7.9427917E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.3282069E+001, 1.2247267E+004,-1.8423185E+003,-9.0040754E+003,-6.2334374E+002,-8.3517893E-001, 0.0000000E+000, 0.0000000E+000, 9.1855433E+002, 7.7669458E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.3370951E+001, 1.2312843E+004,-1.9037456E+003,-8.9193212E+003,-6.1088867E+002,-8.3448254E-001, 0.0000000E+000, 0.0000000E+000, 8.9600632E+002, 8.7805345E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.3459832E+001, 1.2220393E+004,-1.8614337E+003,-8.8572585E+003,-6.0109286E+002,-8.3609161E-001, 0.0000000E+000, 0.0000000E+000, 9.8126626E+002, 8.9977144E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.3548714E+001, 1.2249915E+004,-1.8170895E+003,-8.8128929E+003,-5.9381348E+002,-8.3732491E-001, 0.0000000E+000, 0.0000000E+000, 9.8590113E+002, 1.0252821E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.3637595E+001, 1.2218941E+004,-1.8545367E+003,-8.7908146E+003,-5.8913427E+002,-8.3894737E-001, 0.0000000E+000, 0.0000000E+000, 1.0967568E+003, 9.8361606E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.3726476E+001, 1.2216164E+004,-1.8514310E+003,-8.7810736E+003,-6.0856027E+002,-8.3912072E-001, 0.0000000E+000, 0.0000000E+000, 1.0374584E+003, 9.7425955E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.3815357E+001, 1.2206595E+004,-1.8085052E+003,-8.7781667E+003,-6.0162817E+002,-8.3939735E-001, 0.0000000E+000, 0.0000000E+000, 1.0388136E+003, 1.0174553E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.3904239E+001, 1.2208777E+004,-1.8105217E+003,-8.7693095E+003,-5.8624662E+002,-8.3936076E-001, 0.0000000E+000, 0.0000000E+000, 1.0707565E+003, 1.0418595E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.4002008E+001, 1.2103487E+004,-1.9158726E+003,-8.7462701E+003,-6.0227675E+002,-8.3984944E-001, 0.0000000E+000, 0.0000000E+000, 1.0984194E+003, 8.3822764E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.4099777E+001, 1.2105706E+004,-1.8208589E+003,-8.6790609E+003,-5.9117695E+002,-8.4049537E-001, 0.0000000E+000, 0.0000000E+000, 9.2874368E+002, 1.0137684E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.4197547E+001, 1.2135513E+004,-1.7847781E+003,-8.5880350E+003,-5.7914798E+002,-8.4082163E-001, 0.0000000E+000, 0.0000000E+000, 1.1114299E+003, 1.1827114E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.4295317E+001, 1.2147342E+004,-1.7807780E+003,-8.4774903E+003,-5.7445614E+002,-8.4085462E-001, 0.0000000E+000, 0.0000000E+000, 1.2849944E+003, 1.3137771E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.4393085E+001, 1.2162447E+004,-1.7693169E+003,-8.3628746E+003,-5.6591830E+002,-8.4077487E-001, 0.0000000E+000, 0.0000000E+000, 1.4168736E+003, 1.4634963E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.4490855E+001, 1.2175725E+004,-1.7704873E+003,-8.2651335E+003,-5.8549341E+002,-8.4078222E-001, 0.0000000E+000, 0.0000000E+000, 1.5539948E+003, 1.5537699E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.4588625E+001, 1.2193017E+004,-1.7773918E+003,-8.1693772E+003,-5.8254807E+002,-8.4110415E-001, 0.0000000E+000, 0.0000000E+000, 1.6646295E+003, 1.6628591E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.4686394E+001, 1.2208503E+004,-1.7690192E+003,-8.0836881E+003,-5.6938772E+002,-8.4163842E-001, 0.0000000E+000, 0.0000000E+000, 1.7651747E+003, 1.7855660E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.4784163E+001, 1.2228170E+004,-1.6891816E+003,-8.0058310E+003,-5.7505827E+002,-8.4220404E-001, 0.0000000E+000, 0.0000000E+000, 1.8646079E+003, 1.9572566E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.4881933E+001, 1.2251638E+004,-1.7297458E+003,-7.9336148E+003,-5.7222729E+002,-8.4259467E-001, 0.0000000E+000, 0.0000000E+000, 2.0413393E+003, 2.0152080E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.4979702E+001, 1.2267074E+004,-1.7164341E+003,-7.8660995E+003,-5.7258008E+002,-8.4289555E-001, 0.0000000E+000, 0.0000000E+000, 2.0935444E+003, 2.1111176E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.5077472E+001, 1.2279283E+004,-1.7157838E+003,-7.8114811E+003,-5.6858472E+002,-8.4313791E-001, 0.0000000E+000, 0.0000000E+000, 2.1850346E+003, 2.1825900E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.5175241E+001, 1.2290810E+004,-1.7130752E+003,-7.7771870E+003,-5.6497194E+002,-8.4339672E-001, 0.0000000E+000, 0.0000000E+000, 2.2463365E+003, 2.2347326E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 1.5273010E+001, 1.2302205E+004,-1.7006612E+003,-7.7672937E+003,-5.5897438E+002,-8.4356705E-001, 0.0000000E+000, 0.0000000E+000, 2.2868246E+003, 2.2744321E+003, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
