s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 5.7798748E+001, 1.2252715E+004,-1.7289819E+003,-9.5269879E+003,-4.7225272E+002,-8.4445236E-001, 0.0000000E+000, 0.0000000E+000, 5.7394724E+002, 5.2364774E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.7896141E+001, 1.2246429E+004,-1.7545539E+003,-9.6233637E+003,-4.7288962E+002,-8.4558574E-001, 0.0000000E+000, 0.0000000E+000, 4.8450047E+002, 3.9477660E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.7993530E+001, 1.2246583E+004,-1.7653054E+003,-9.7473200E+003,-4.7332825E+002,-8.4666043E-001, 0.0000000E+000, 0.0000000E+000, 3.4123938E+002, 2.5978315E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.8090923E+001, 1.2247134E+004,-1.7445954E+003,-9.8725533E+003,-4.7585978E+002,-8.4724714E-001, 0.0000000E+000, 0.0000000E+000, 1.9747073E+002, 1.5327822E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.8188313E+001, 1.2242921E+004,-1.7496137E+003,-9.9827921E+003,-4.6997671E+002,-8.4745149E-001, 0.0000000E+000, 0.0000000E+000, 9.3503105E+001, 3.9691238E+001, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.8285706E+001, 1.2237789E+004,-1.7540367E+003,-1.0071598E+004,-4.5714650E+002,-8.4742187E-001, 0.0000000E+000, 0.0000000E+000,-1.6335398E+001,-4.5839057E+001, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.8383099E+001, 1.2232459E+004,-1.7487950E+003,-1.0139073E+004,-4.6315754E+002,-8.4723935E-001, 0.0000000E+000, 0.0000000E+000,-1.0610951E+002,-1.1941439E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.8480488E+001, 1.2226481E+004,-1.7356350E+003,-1.0184363E+004,-4.6509447E+002,-8.4693114E-001, 0.0000000E+000, 0.0000000E+000,-1.6289018E+002,-1.5945882E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.8577881E+001, 1.2234418E+004,-1.7294485E+003,-1.0199749E+004,-4.6611555E+002,-8.4647313E-001, 0.0000000E+000, 0.0000000E+000,-1.8700754E+002,-1.6174126E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.8675274E+001, 1.2237460E+004,-1.7208551E+003,-1.0182431E+004,-4.7915180E+002,-8.4578866E-001, 0.0000000E+000, 0.0000000E+000,-1.8151866E+002,-1.4582298E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.8772663E+001, 1.2234811E+004,-1.7366344E+003,-1.0160701E+004,-4.8713991E+002,-8.4488358E-001, 0.0000000E+000, 0.0000000E+000,-1.4228623E+002,-1.5050872E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.8870056E+001, 1.2228460E+004,-1.7241467E+003,-1.0164731E+004,-4.8414673E+002,-8.4433322E-001, 0.0000000E+000, 0.0000000E+000,-1.5059658E+002,-1.4540902E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.8967449E+001, 1.2220170E+004,-1.7076254E+003,-1.0185014E+004,-4.8221667E+002,-8.4450598E-001, 0.0000000E+000, 0.0000000E+000,-1.6041799E+002,-1.5553026E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.9064838E+001, 1.2210690E+004,-1.7008624E+003,-1.0209920E+004,-4.8049573E+002,-8.4485283E-001, 0.0000000E+000, 0.0000000E+000,-1.7923658E+002,-1.8143266E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.9162231E+001, 1.2199013E+004,-1.6775676E+003,-1.0245828E+004,-4.8963233E+002,-8.4508558E-001, 0.0000000E+000, 0.0000000E+000,-2.0859965E+002,-2.1485981E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.9259624E+001, 1.2202879E+004,-1.6828965E+003,-1.0276837E+004,-4.8121667E+002,-8.4524338E-001, 0.0000000E+000, 0.0000000E+000,-2.3750637E+002,-2.3891620E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.9357014E+001, 1.2210623E+004,-1.6943527E+003,-1.0294095E+004,-4.7877861E+002,-8.4536728E-001, 0.0000000E+000, 0.0000000E+000,-2.5964286E+002,-2.5744795E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.9454407E+001, 1.2218387E+004,-1.6864802E+003,-1.0291768E+004,-4.7790305E+002,-8.4548263E-001, 0.0000000E+000, 0.0000000E+000,-2.6892806E+002,-2.3860889E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.9551796E+001, 1.2224785E+004,-1.7132634E+003,-1.0252743E+004,-4.7597974E+002,-8.4559212E-001, 0.0000000E+000, 0.0000000E+000,-2.3477576E+002,-2.1804689E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.9649189E+001, 1.2232782E+004,-1.7320620E+003,-1.0189889E+004,-4.7020157E+002,-8.4571300E-001, 0.0000000E+000, 0.0000000E+000,-1.9845584E+002,-1.6021624E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.9746582E+001, 1.2240026E+004,-1.6518269E+003,-1.0138316E+004,-4.6837257E+002,-8.4580584E-001, 0.0000000E+000, 0.0000000E+000,-1.4171289E+002,-1.9335888E+001, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.9843971E+001, 1.2246946E+004,-1.6730076E+003,-1.0101015E+004,-4.6633207E+002,-8.4579995E-001, 0.0000000E+000, 0.0000000E+000,-5.8617840E+000, 5.7452469E+000, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 5.9941364E+001, 1.2251411E+004,-1.6868263E+003,-1.0071770E+004,-4.6049959E+002,-8.4570693E-001, 0.0000000E+000, 0.0000000E+000, 1.6376541E+001, 3.1469543E+001, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
 6.0000000E+001, 1.2783677E+004,-1.8850479E+003,-1.0052068E+004,-4.6065687E+002,-8.4557940E-001, 0.0000000E+000, 0.0000000E+000, 3.1594188E+001, 3.8505834E+002, 0.0000000E+000, 2.7014133E-001, 0.0000000E+000
