Oxygen Concentration,Humidity,Temperature,Wind Speed,Fire Intensity,Heat Release Rate
15,80,32,5,97.2,129.67
30,80,20,17,97.2,129.67
30,80,38,5,101.59,135.67
15,80,40,9,90.36,120.67
15,20,20,16,90.36,120.67
15,20,40,5,90.36,120.67
30,30,20,20,83.62,111.67
30,80,23,5,97.2,129.67
21,80,40,20,83.62,111.67
25,20,20,5,90.36,120.67
18,80,20,5,83.62,111.67
15,20,20,20,76.88,102.67
30,60,40,5,83.62,111.67
30,80,20,5,83.62,111.67
30,80,20,13,76.88,102.67
15,27,40,5,76.88,102.67
30,80,21,5,97.2,129.67
27,20,40,20,90.36,120.67
17,20,20,20,90.36,120.67
15,80,31,20,90.36,120.67
15,80,40,11,90.36,120.67
15,20,24,5,83.62,111.67
15,20,20,10,90.36,120.67
28,80,20,20,83.62,111.67
15,20,40,10,97.2,129.67
15,20,40,14,97.2,129.67
15,80,40,5,83.62,111.67
30,50,20,5,76.88,102.67
30,80,20,18,76.88,102.67
30,54,40,20,90.36,120.67
30,47,40,5,83.62,111.67
25,80,20,5,83.62,111.67
30,20,30,20,83.62,111.67
30,24,40,20,83.62,111.67
15,20,20,13,90.36,120.67
24,20,20,5,90.36,120.67
30,80,28,20,90.36,120.67
30,40,40,20,90.36,120.67
30,80,40,17,97.2,129.67
30,80,20,10,101.59,135.67
30,80,28,5,101.59,135.67
30,20,40,5,90.36,120.67
30,80,20,19,76.88,102.67
30,54,20,20,83.62,111.67
30,80,24,20,90.36,129.67
15,67,40,20,90.36,120.67
15,80,40,8,97.2,129.67
30,20,26,20,76.88,102.67
15,64,40,5,90.36,120.67
15,20,28,5,83.62,111.67
15,80,40,13,97.2,129.67
16,80,20,5,90.36,120.67
30,34,40,5,90.36,120.67
30,80,40,5,90.36,120.67
30,37,40,20,76.88,102.67
30,80,31,5,97.2,129.67
29,80,20,20,90.36,120.67
15,20,25,5,83.62,111.67
30,70,20,5,83.62,111.67
15,50,20,5,83.62,111.67
30,80,32,5,101.59,135.67
15,80,29,5,115.07,153.67
15,47,40,20,90.36,120.67
21,20,40,20,83.62,111.67
29,80,20,5,83.62,111.67
25,80,20,20,83.62,111.67
30,20,21,20,83.62,111.67
18,20,20,20,76.88,102.67
30,80,37,5,115.07,153.67
23,20,20,20,83.62,111.67
25,20,40,20,76.88,102.67
30,20,20,8,97.2,129.67
15,20,37,5,83.62,111.67
23,80,20,5,76.88,102.67
30,24,40,5,76.88,102.67
30,20,40,5,97.2,129.67
15,20,26,5,83.62,111.67
17,80,20,5,76.88,102.67
30,20,36,20,108.33,144.67
15,24,40,20,76.88,102.67
30,80,20,9,90.36,120.67
30,80,40,7,90.36,120.67
30,44,40,5,90.36,120.67
15,20,36,5,83.62,111.67
30,20,20,11,83.62,111.67
